std_id,full_id,timepoint,graph_order,treatment,replicate,flask,sample_id,pic_batch,wing_length,uni,collection_date,stock_origin,uni_tx
d16 home,LSTM-d16 home,d16,13,match,L16-3,50,L163F5,,2.484,LSTM,6/16/22,LSTM,LSTM-match
d16 home,LSTM-d16 home,d16,13,match,L16-3,50,L163F6,,2.674,LSTM,6/16/22,LSTM,LSTM-match
d16 home,LSTM-d16 home,d16,13,match,L16-3,50,L163F7,,2.487,LSTM,6/16/22,LSTM,LSTM-match
d16 home,LSTM-d16 home,d16,13,match,L16-4,51,L164F1,,2.466,LSTM,6/16/22,LSTM,LSTM-match
d16 home,LSTM-d16 home,d16,13,match,L16-4,51,L164F2,,2.688,LSTM,6/16/22,LSTM,LSTM-match
d16 home,LSTM-d16 home,d16,13,match,L16-4,51,L164F3,,2.461,LSTM,6/16/22,LSTM,LSTM-match
d16 home,LSTM-d16 home,d16,13,match,L16-4,51,L164F4,,2.617,LSTM,6/16/22,LSTM,LSTM-match
d16 away,LSTM-d16 away,d16,14,mismatch,W16-1,52,W161F3,,2.68,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-1,52,W161F4,,2.774,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-1,52,W161F6,,2.591,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-1,52,W161F7,,2.452,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-1,52,W161F8,,2.424,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-1,52,W161F9,,2.194,LSTM,6/16/22,UW,LSTM-mismatch
d16 home,LSTM-d16 home,d16,13,mismatch,W16-1,52,W161F2,,2.689,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-2,53,W162F1,,2.4,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-2,53,W162F2,,2.643,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-2,53,W162F3,,2.561,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-2,53,W162F4,,2.555,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-2,53,W162F5,,3.032,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-2,53,W162F6,,2.431,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-2,53,W162F7,,2.667,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-2,53,W162F8,,2.685,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-2,53,W162F9,,2.455,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-2,53,W162F10,,2.542,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-3,54,W163F1,,2.612,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-3,54,W163F2,,2.295,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-3,54,W163F3,,2.833,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-3,54,W163F4,,2.585,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-4,55,W164F1,,2.599,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-4,55,W164F2,,2.34,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-4,55,W164F3,,2.569,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-4,55,W164F4,,2.447,LSTM,6/16/22,UW,LSTM-mismatch
d16 away,LSTM-d16 away,d16,14,mismatch,W16-4,55,W164F5,,2.794,LSTM,6/16/22,UW,LSTM-mismatch
d30 home,LSTM-d30 home,d30,15,match,L30-1,56,L301F1,,2.81,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-1,56,L301F3,,2.82,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-1,56,L301F4,,2.697,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-1,56,L301F5,,2.92,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-1,56,L301F6,,2.716,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-1,56,L301F7,,2.774,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-1,56,L301F8,,2.816,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-1,56,L301F9,,2.947,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-2,57,L302F1,,2.932,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-2,57,L302F2,,2.479,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-2,57,L302F3,,2.773,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-2,57,L302F4,,2.73,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-2,57,L302F5,,2.605,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-2,57,L302F6,,2.677,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-3,58,L303F1,,2.884,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-3,58,L303F2,,2.733,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-3,58,L303F3,,2.632,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-3,58,L303F4,,2.735,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-3,58,L303F5,,2.871,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-3,58,L303F6,,2.789,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-3,58,L303F7,,2.793,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-3,58,L303F8,,2.88,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-3,58,L303F9,,2.589,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-3,58,L303F10,,2.733,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-4,59,L304F1,,2.534,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-4,59,L304F2,,2.773,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-4,59,L304F3,,2.718,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-4,59,L304F4,,2.96,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-4,59,L304F5,,2.713,LSTM,6/27/22,LSTM,LSTM-match
d30 home,LSTM-d30 home,d30,15,match,L30-4,59,L304F6,,2.718,LSTM,6/27/22,LSTM,LSTM-match
d30 away,LSTM-d30 away,d30,16,mismatch,W30-1,60,W301F1,,2.743,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-1,60,W301F2,,2.865,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-1,60,W301F3,,3.038,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-1,60,W301F4,,2.821,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-1,60,W301F5,,2.627,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-2,61,W302F1,,2.619,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-2,61,W302F2,,2.553,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-2,61,W302F3,,2.792,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-2,61,W302F4,,2.704,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-2,61,W302F5,,3.082,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-2,61,W302F6,,2.533,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-3,62,W303F1,,2.964,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-3,62,W303F2,,2.866,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-3,62,W303F3,,2.749,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-3,62,W303F4,,2.825,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-4,63,W304F1,,2.853,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-4,63,W304F2,,2.906,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-4,63,W304F3,,2.674,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-4,63,W304F4,,2.936,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-4,63,W304F5,,3.086,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-4,63,W304F6,,2.771,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-4,63,W304F7,,3.017,LSTM,6/27/22,UW,LSTM-mismatch
d30 away,LSTM-d30 away,d30,16,mismatch,W30-4,63,W304F8,,2.856,LSTM,6/27/22,UW,LSTM-mismatch
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-1,64,L6M1F1,,2.966,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-1,64,L6M1F2,,2.946,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-1,64,L6M1F3,,2.838,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-1,64,L6M1F4,,3.008,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-1,64,L6M1F5,,2.789,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-1,64,L6M1F6,,2.788,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-1,64,L6M2F1,,2.883,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-2,65,L6M2F2,,2.746,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-2,65,L6M2F3,,2.729,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-2,65,L6M2F4,,2.685,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-2,65,L6M2F5,,2.665,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-2,65,L6M2F6,,3.119,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-2,65,L6M2F7,,2.881,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-2,65,L6M2F8,,2.725,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-2,65,L6M2F9,,2.64,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-2,65,L6M2F10,,2.803,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-3,66,L6M3F1,,2.82,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-3,66,L6M3F2,,2.904,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-3,66,L6M3F3,,2.65,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-3,66,L6M3F4,,2.571,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-3,66,L6M3F5,,3.006,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-3,66,L6M3F6,,2.685,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-3,66,L6M3F7,,2.884,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-4,67,L6M4F1,,2.932,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-4,67,L6M4F2,,2.845,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-4,67,L6M4F3,,2.807,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-4,67,L6M4F4,,2.762,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-4,67,L6M4F5,,2.67,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-4,67,L6M4F6,,2.828,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-4,67,L6M4F7,,3.028,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-4,67,L6M4F8,,2.984,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-4,67,L6M4F9,,2.86,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-4,67,L6M4F10,,2.805,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-4,67,L6M4F11,,2.661,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-4,67,L6M4F12,,2.75,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-4,67,L6M4F13,,2.961,LSTM,12/13/22,LSTM,LSTM-match
mo6 home,LSTM-mo6 home,mo6,17,match,L6M-4,67,L6M4F14,,2.765,LSTM,12/13/22,LSTM,LSTM-match
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-1,68,W6M1F1,,3.092,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-1,68,W6M1F2,,3.006,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-1,68,W6M1F3,,2.684,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-1,68,W6M1F4,,2.787,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-1,68,W6M1F5,,2.906,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-1,68,W6M1F6,,2.767,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-1,68,W6M1F7,,2.812,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-1,68,W6M1F8,,2.882,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-1,68,W6M1F9,,2.96,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-1,68,W6M1F10,,2.713,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-1,68,W6M1F11,,2.958,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-1,68,W6M1F12,,2.921,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-1,68,W6M1F13,,2.431,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-1,68,W6M1F14,,2.615,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-2,69,W6M2F1,,2.94,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-2,69,W6M2F2,,2.95,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-2,69,W6M2F3,,2.928,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-2,69,W6M2F4,,2.844,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-2,69,W6M2F5,,2.967,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-2,69,W6M2F6,,2.811,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-2,69,W6M2F7,,2.775,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-2,69,W6M2F8,,2.592,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-2,69,W6M2F9,,2.781,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-2,69,W6M2F10,,2.824,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-2,69,W6M2F11,,2.807,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-3,70,W6M3F1,,2.899,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-3,70,W6M3F2,,2.974,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-3,70,W6M3F3,,2.91,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-3,70,W6M3F4,,2.968,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-3,70,W6M3F5,,2.954,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-3,70,W6M3F6,,2.949,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-3,70,W6M3F7,,2.861,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-3,70,W6M3F8,,2.842,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-3,70,W6M3F9,,2.83,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-4,71,W6M4F1,,3.099,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-4,71,W6M4F2,,2.365,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-4,71,W6M4F3,,3.067,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-4,71,W6M4F4,,2.841,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-4,71,W6M4F5,,2.755,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-4,71,W6M4F6,,2.905,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-4,71,W6M4F7,,2.734,LSTM,12/13/22,UW,LSTM-mismatch
mo6 away,LSTM-mo6 away,mo6,18,mismatch,W6M-4,71,W6M4F8,,2.828,LSTM,12/13/22,UW,LSTM-mismatch
